City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Rikitea,PF,79.47,light rain,-23.1203,-134.9692,People ThankYou
13,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
18,Takoradi,GH,79.54,scattered clouds,4.8845,-1.7554,Raybow International Hotel
26,Atuona,PF,78.98,scattered clouds,-9.8,-139.0333,Villa Enata
31,Puerto Ayora,EC,77.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Sao Joao Da Barra,BR,76.19,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
36,Muli,MV,83.03,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
40,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
43,Torit,SS,78.67,broken clouds,4.4133,32.5678,Diplomat Guest House
49,Namatanai,PG,79.56,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
54,Arraial Do Cabo,BR,76.73,clear sky,-22.9661,-42.0278,Pousada Porto Praia
59,Chauk,MM,85.06,clear sky,20.8833,94.8167,Bo Khin Guest House
60,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
62,Butaritari,KI,81.82,broken clouds,3.0707,172.7902,Isles Sunset Lodge
71,Bambous Virieux,MU,83.21,light rain,-20.3428,57.7575,Casa Tia Villa
78,Byron Bay,AU,84.31,scattered clouds,-28.65,153.6167,Backpackers Inn
86,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
88,Conchagua,SV,79.05,broken clouds,13.3078,-87.8647,Comfort Inn Real La Union Hotel
89,Sokoni,TZ,80.87,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
94,Kattivakkam,IN,80.69,overcast clouds,13.2167,80.3167,Euronova Freezer
97,Grand Gaube,MU,83.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
100,Malakal,SS,82.18,broken clouds,9.5334,31.6605,Nile Palace Hotel
102,Narrabri,AU,87.53,scattered clouds,-30.3167,149.7833,Crossroads Hotel
104,Vung Tau,VN,83.03,broken clouds,10.346,107.0843,Seaside Resort
107,Coffs Harbour,AU,76.96,overcast clouds,-30.3,153.1333,Aquajet Motel
112,Waingapu,ID,83.82,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
114,Saint-Pierre,RE,80.28,few clouds,-21.3393,55.4781,Lindsey Hôtel
118,Bonthe,SL,75.27,broken clouds,7.5264,-12.505,Bonthe Holiday Village
127,Mahebourg,MU,82.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
129,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
131,Beira,MZ,76.77,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
133,Tautira,PF,87.01,scattered clouds,-17.7333,-149.15,Pension Oaoa
134,Souillac,MU,82.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
143,Sola,VU,80.65,moderate rain,-13.8833,167.55,Leumerus Bungalows
152,Victoria,HK,80.96,scattered clouds,22.2855,114.1577,Mini Hotel Central
154,Aquiraz,BR,82.49,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
159,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
160,Ballina,AU,84.38,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
163,Olpad,IN,75.18,clear sky,21.3333,72.75,IDTCATERING
167,Kuzhithurai,IN,85.68,overcast clouds,8.3167,77.1833,Hotel Prasanthi
168,Mount Gambier,AU,81.82,broken clouds,-37.8333,140.7667,The Commodore
171,Carnarvon,AU,82.47,few clouds,-24.8667,113.6333,Hospitality Carnarvon
172,Ibirama,BR,77.31,overcast clouds,-27.0569,-49.5178,Hotel Soralete - Grupo Rosablue
175,San Andres,CO,80.62,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
176,Samarai,PG,83.23,broken clouds,-10.6167,150.6667,Nuli Sapi
178,Tezu,IN,78.55,few clouds,27.9167,96.1667,Circuit House
188,Banjar,ID,87.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
191,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
195,Nabire,ID,87.21,few clouds,-3.3667,135.4833,Hotel Nusantara Nabire
198,Hithadhoo,MV,83.84,overcast clouds,-0.6,73.0833,Scoop Guest House
201,Cotonou,BJ,80.69,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
207,Cockburn Town,TC,77.43,clear sky,21.4612,-71.1419,Osprey Beach Hotel
208,Honiara,SB,84.99,broken clouds,-9.4333,159.95,Heritage Park Hotel
211,Iralaya,HN,76.69,clear sky,15.0,-83.2333,Iglesia morava renovada
213,Dingle,PH,87.03,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
224,Biak,ID,83.55,few clouds,-0.9131,122.8766,Penginapan Kim
225,Jeremie,HT,75.97,clear sky,18.65,-74.1167,Auberge’Inn
227,Banda Aceh,ID,82.71,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
228,Fare,PF,81.93,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
242,Hilo,US,78.53,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
243,Pedernales,DO,76.95,clear sky,18.0384,-71.744,Hotel Costa Marina
247,Salinopolis,BR,78.48,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
248,Boa Vista,BR,82.38,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
253,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
257,Mazagao,BR,75.25,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
258,Weligama,LK,82.26,light rain,5.9667,80.4167,Weligama Bay Resort
261,Ares,BR,77.54,light rain,-6.1944,-35.1603,Recanto dos Pássaros
262,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
266,Codrington,AU,80.17,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
269,Loandjili,CG,76.39,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
282,Mogok,MM,77.61,scattered clouds,22.9167,96.5,MOGOK HILL HOTEL
294,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
295,Buchanan,LR,78.26,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
299,Yarada,IN,82.72,haze,17.65,83.2667,Yarada Jungle Beach Resorts
307,Buala,SB,83.82,light rain,-8.145,159.5921,Maringe Lagoon Lodge
322,Teahupoo,PF,78.76,scattered clouds,-17.8333,-149.2667,Vanira Lodge
323,Sinnamary,GF,76.51,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
325,Bengkulu,ID,84.36,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
334,Panacan,PH,85.08,scattered clouds,9.2463,118.4082,Mom's Place Resort
342,Teknaf,BD,83.43,clear sky,20.8624,92.3058,Forestry Guesthouse
343,Dorado,PR,77.14,clear sky,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
345,Sompeta,IN,82.26,clear sky,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
347,Kavaratti,IN,82.2,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
352,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
353,Sur,OM,76.84,clear sky,22.5667,59.5289,Sur Plaza Hotel
357,San Policarpo,PH,81.0,broken clouds,12.1791,125.5072,Agapita M. Nicart
359,Kavieng,PG,79.83,light rain,-2.5744,150.7967,Nusa Island Retreat
371,Butterworth,MY,89.64,few clouds,5.3991,100.3638,Cititel Penang
374,Faanui,PF,82.36,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
375,Kieta,PG,84.97,light rain,-6.2167,155.6333,Uruna Bay Retreat
385,Batticaloa,LK,80.96,overcast clouds,7.7102,81.6924,Grand Star Guest House
386,The Valley,AI,78.66,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
389,Lorengau,PG,82.2,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
391,Mormugao,IN,79.86,few clouds,15.4,73.8,Coconut Creek Resort
392,Hambantota,LK,83.53,overcast clouds,6.1241,81.1185,Bungalow 63
401,Kirakira,SB,82.62,overcast clouds,-10.4544,161.9205,SanBiz Lodge
403,Eyl,SO,76.21,overcast clouds,7.9803,49.8164,Amiin Hotel
405,Luganville,VU,78.62,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
406,Sungairaya,ID,88.02,scattered clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
410,Koumac,NC,84.04,overcast clouds,-20.5667,164.2833,Le Monitel
415,Puerto Madero,MX,77.2,few clouds,14.7208,-92.4215,Hospedaje madero
418,Puerto Ayacucho,VE,76.5,few clouds,5.6639,-67.6236,Posada Turistica Manapiare
422,Katobu,ID,89.83,few clouds,-4.9408,122.5276,La Ode Husein
424,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
429,Taitung,TW,77.27,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
432,Chirilagua,SV,78.55,broken clouds,13.2203,-88.1386,Hogar De Espera Materno
440,Acapulco,MX,80.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
442,Sri Aman,MY,82.45,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
454,Cayenne,GF,76.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
462,Vao,NC,80.17,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
486,Qui Nhon,VN,79.02,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
494,Savannah Bight,HN,78.01,broken clouds,16.45,-85.85,Villa on Dunbar Rock
500,Harsud,IN,79.52,clear sky,22.1,76.7333,Tortoise Tapu (Anay)
504,Ternate,ID,86.36,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
514,Puerto Escondido,MX,79.63,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
516,Hobyo,SO,79.65,light rain,5.3505,48.5268,Halane Hotel and Restaurent
520,Xai-Xai,MZ,75.88,scattered clouds,-25.0519,33.6442,Complexo da Familia
523,Kudahuvadhoo,MV,82.92,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
537,Lakes Entrance,AU,76.15,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
541,Saharsa,IN,77.36,clear sky,25.8833,86.6,SPOT ON 61627 Golden Plaza SPOT
546,Bandarbeyla,SO,78.87,scattered clouds,9.4942,50.8122,JABIR HOTEL
549,Bobo Dioulasso,BF,77.45,clear sky,11.1771,-4.2979,IBA Hotel
564,Tubuala,PA,79.34,scattered clouds,9.5167,-79.0333,Río Nabagana
570,Kalmunai,LK,80.04,overcast clouds,7.4167,81.8167,VS Villa
575,Cap Malheureux,MU,83.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
584,Kapoeta,SS,84.2,overcast clouds,4.7717,33.5903,Eastgate Hotel
586,Bubaque,GW,76.35,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
591,Gweta,BW,76.93,overcast clouds,-20.1833,25.2333,Gweta Lodge
592,Quatre Cocos,MU,83.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
594,Bairiki,KI,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
599,Tabou,CI,78.66,light rain,4.423,-7.3528,hotêl doufoulougou
604,Saint-Leu,RE,81.46,clear sky,-21.15,55.2833,La Caz Oceane
606,Jagannathpur,IN,82.83,clear sky,22.2333,85.65,Hotel sidhiviynak
608,Natal,BR,77.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
609,Benjamin Aceval,PY,80.74,overcast clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
614,Nhulunbuy,AU,86.61,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
628,Geraldton,AU,77.41,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
629,Bouna,CI,76.17,broken clouds,9.2667,-3.0,Hôtel lababa
637,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
640,Isangel,VU,81.3,overcast clouds,-19.55,169.2667,Tanna Lodge
646,Trincomalee,LK,82.24,overcast clouds,8.5711,81.2335,Welcombe Hotel
667,Touros,BR,77.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
679,Boyolangu,ID,86.59,scattered clouds,-8.1181,111.8935,Yos ega cv
683,Panama City,PA,79.18,few clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
684,Auki,SB,82.56,light rain,-8.7676,160.7034,Auki Motel
685,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
694,Pandan,PH,82.02,overcast clouds,14.0453,124.1694,Bonifacio Lodge
